No,분류,분류,분류,2025년 4월
No,분류,분류,분류,가격
1,전국,전국,전국,"235,657"
2,수도권,수도권,수도권,"332,712"
3,지방권,지방권,지방권,"148,484"
4,6대광역시,6대광역시,6대광역시,"190,719"
5,5대광역시,5대광역시,5대광역시,"188,181"
6,9개도,9개도,9개도,"192,950"
7,8개도,8개도,8개도,"119,590"
8,서울,서울,서울,"449,784"
9,서울,강북지역,강북지역,"391,871"
10,서울,강북지역,도심권,"519,759"
11,서울,강북지역,동북권,"362,519"
12,서울,강북지역,서북권,"374,983"
13,서울,강남지역,강남지역,"510,407"
14,서울,강남지역,서남권,"368,035"
15,서울,강남지역,동남권,"705,751"
16,경기,경기,경기,"285,874"
17,경기,경부1권,경부1권,"437,829"
18,경기,경부2권,경부2권,"301,732"
19,경기,서해안권,서해안권,"240,117"
20,경기,동부1권,동부1권,"318,314"
21,경기,동부2권,동부2권,"145,410"
22,경기,경의권,경의권,"288,750"
23,경기,경원권,경원권,"153,840"
24,인천,인천,인천,"198,848"
25,부산,부산,부산,"182,334"
26,부산,중부산권,중부산권,"169,072"
27,부산,동부산권,동부산권,"211,837"
28,부산,서부산권,서부산권,"168,425"
29,대구,대구,대구,"187,954"
30,광주,광주,광주,"180,582"
31,대전,대전,대전,"204,714"
32,울산,울산,울산,"193,640"
33,세종,세종,세종,"215,695"
34,강원,강원,강원,"118,177"
35,충북,충북,충북,"130,218"
36,충남,충남,충남,"126,188"
37,전북,전북,전북,"111,693"
38,전남,전남,전남,"91,026"
39,경북,경북,경북,"97,075"
40,경남,경남,경남,"137,714"
41,제주,제주,제주,"156,994"
